bbox,Namen,Confidence Level,Bildname
"[[1155, 1046], [1322, 1046], [1322, 1097], [1155, 1097]]",98es9eff,0.007224340765804844,10998515
"[[1225, 782], [1290, 738], [1312, 776], [1248, 819]]",ech{,0.3210507035255432,10998515
"[[1080, 780], [1153, 803], [1140, 842], [1066, 819]]",Hier,0.9715901613235474,10998515
"[[1138, 799], [1242, 782], [1247, 820], [1144, 837]]",Loche,0.42701204155210254,10998515
"[[1163, 1004], [1290, 987], [1295, 1035], [1168, 1052]]",Gluck,0.6689744450567746,10998515
"[[1191, 1089], [1296, 1077], [1298, 1115], [1193, 1128]]",2irine,0.0022438797697540602,10998515
"[[1281, 1127], [1346, 1120], [1348, 1146], [1282, 1153]]",caa,0.02646935636293583,10998515
