bbox,Namen,Confidence Level,Bildname
"[[1369, 2148], [1499, 2132], [1503, 2179], [1373, 2195]]",WENNS C,0.3259448499844569,10998510
"[[1492, 2125], [1553, 2125], [1553, 2177], [1492, 2177]]",OPa,0.5399610359630749,10998510
"[[1544, 2118], [1638, 2111], [1639, 2156], [1545, 2163]]",NICUT,0.303639828913885,10998510
"[[1544, 2159], [1635, 2148], [1637, 2191], [1547, 2203]]",'KANN,0.9148650918816752,10998510
"[[1362, 2189], [1557, 2159], [1563, 2209], [1369, 2239]]",REPARIEREN',0.2465138859653414,10998510
